ip,domains,product,last_seen,first_seen
93.71.143.16,"['net-93-71-143-16.cust.vodafonedsl.it', 'francodp.dyndns.tv']",Brute Ratel C4,2025-06-20,6/8/2025
167.99.137.218,[],Brute Ratel C4,2025-06-20,6/8/2025
3.36.144.103,"['ec2-3-36-144-103.ap-northeast-2.compute.amazonaws.com', 'commapi.gamemarket.kr']",Brute Ratel C4,2025-06-20,6/8/2025
196.251.116.59,[],AsyncRAT,2025-06-20,6/8/2025
52.206.75.14,['ec2-52-206-75-14.compute-1.amazonaws.com'],Metasploit,2025-06-19,6/8/2025
101.200.183.130,[],Cobalt Strike,2025-06-19,6/8/2025
60.205.183.232,[],Cobalt Strike,2025-06-20,6/8/2025
134.209.93.110,[],Sliver,2025-06-20,6/8/2025
47.109.90.134,[],Cobalt Strike,2025-06-20,6/8/2025
43.143.114.43,[],Cobalt Strike,2025-06-20,6/8/2025
94.191.187.105,['94.191.187.105.mobile.tre.se'],Gh0st RAT Trojan,2025-06-20,6/8/2025
161.35.40.73,[],Sliver,2025-06-20,6/8/2025
166.108.207.55,['ecs-166-108-207-55.compute.hwclouds-dns.com'],Havoc,2025-06-20,6/8/2025
185.62.87.191,[],AsyncRAT,2025-06-20,6/8/2025
13.247.66.80,['ec2-13-247-66-80.af-south-1.compute.amazonaws.com'],Metasploit,2025-06-18,6/8/2025
47.52.142.159,[],Panda C2,2025-06-20,6/8/2025
18.227.114.87,['ec2-18-227-114-87.us-east-2.compute.amazonaws.com'],Metasploit,5/21/2025,5/21/2025
157.230.118.220,[],Hak5 Cloud C2,2025-06-20,6/8/2025
54.219.206.191,['ec2-54-219-206-191.us-west-1.compute.amazonaws.com'],NetBus Trojan,2025-06-18,6/8/2025
213.209.143.57,[],NanoCore RAT Trojan,2025-06-18,6/8/2025
47.76.177.218,[],Quasar RAT,2025-06-20,6/8/2025
8.152.194.88,[],Cobalt Strike,2025-06-20,6/8/2025
43.139.204.206,[],Cobalt Strike,2025-06-20,6/8/2025
47.109.177.97,[],Cobalt Strike,2025-06-20,6/8/2025
120.76.200.78,[],Panda C2,2025-06-19,6/8/2025
8.141.166.236,[],Cobalt Strike,2025-06-20,6/8/2025
93.105.1.235,['093105001235.gubin.vectranet.pl'],DarkComet Trojan,2025-06-20,6/8/2025
8.148.224.96,[],Cobalt Strike,2025-06-19,6/8/2025
124.222.81.106,[],Cobalt Strike,2025-06-20,6/8/2025
47.109.201.173,[],Cobalt Strike,2025-06-20,6/8/2025
47.100.168.4,[],Cobalt Strike,2025-06-20,6/8/2025
172.105.180.232,['172-105-180-232.ip.linodeusercontent.com'],Sliver,2025-06-20,6/8/2025
159.75.84.224,[],Cobalt Strike,2025-06-19,6/8/2025
47.100.65.202,"['flyert.com.cn', 'www.flyert.com.cn']",Panda C2,6/5/2025,6/5/2025
18.163.128.190,['ec2-18-163-128-190.ap-east-1.compute.amazonaws.com'],Metasploit,2025-06-18,6/8/2025
207.231.109.20,[],Cobalt Strike,2025-06-18,6/8/2025
3.249.3.221,['ec2-3-249-3-221.eu-west-1.compute.amazonaws.com'],Metasploit,2025-06-18,6/8/2025
39.98.135.223,"['lilinchao.com', 'www.lilinchao.com']",Panda C2,5/24/2025,5/24/2025
43.139.233.218,[],Cobalt Strike,2025-06-20,6/8/2025
103.45.68.150,[],DcRat,2025-06-20,6/8/2025
106.54.238.71,[],Cobalt Strike,2025-06-19,6/8/2025
222.253.182.185,['static.vnpt.vn'],Quasar RAT,2025-06-20,6/8/2025
16.78.90.50,['ec2-16-78-90-50.ap-southeast-3.compute.amazonaws.com'],Metasploit,2025-06-18,6/8/2025
117.25.28.1,"['www.cfmfactory.com', 'cfmfactory.com']",Panda C2,2025-06-20,6/8/2025
102.117.162.146,[],Mythic,2025-06-20,6/8/2025
47.98.134.252,['resource-shanghai6.oss-cn-shanghai.aliyuncs.com'],Cobalt Strike,2025-06-20,6/8/2025
185.124.166.20,[],DarkComet Trojan,2025-06-20,6/8/2025
93.183.124.59,['v136902.hosted-by-vdsina.com'],DarkComet Trojan,2025-06-20,6/8/2025
188.187.63.5,"['dynamicip-188-187-63-5.pppoe.volgograd.ertelecom.ru', 'sergionow.changenow.io']",DarkComet Trojan,2025-06-20,6/8/2025
5.153.144.10,['10.144.kmt.customers.dipt.ua'],DarkComet Trojan,2025-06-20,6/8/2025
45.9.63.19,"['c2.dklapproth.de', 'dklapproth.de']",Hak5 Cloud C2,2025-06-20,6/8/2025
154.201.74.112,['accesserdsc.com'],Cobalt Strike,2025-06-20,6/8/2025
35.241.10.206,"['liferay.cloud', '206.10.241.35.bc.googleusercontent.com']",Panda C2,5/20/2025,5/20/2025
51.81.171.234,['ip234.ip-51-81-171.us'],Havoc,2025-06-19,6/8/2025
195.3.223.146,['server144.seasonaldiffer.me'],AsyncRAT,2025-06-20,6/8/2025
171.244.143.184,['mfmni.shop'],Cobalt Strike,2025-06-20,6/8/2025
47.103.36.17,[],Cobalt Strike,2025-06-19,6/8/2025
43.198.196.123,['ec2-43-198-196-123.ap-east-1.compute.amazonaws.com'],Panda C2,2025-06-20,6/8/2025
47.109.65.22,[],Sliver,2025-06-20,6/8/2025
185.245.182.209,"['vmi1247833.contaboserver.net', 'social.blackhatethicalhacking.com']",Mythic,2025-06-10,6/8/2025
52.140.245.31,[],Cobalt Strike,2025-06-20,6/8/2025
43.128.97.148,[],Panda C2,2025-06-20,6/8/2025
13.58.42.201,"['pr0t31n.com', 'ec2-13-58-42-201.us-east-2.compute.amazonaws.com']",Hak5 Cloud C2,2025-06-20,6/8/2025
85.215.125.206,[],Hak5 Cloud C2,2025-06-19,6/8/2025
47.236.136.247,[],Sliver,2025-06-20,6/8/2025
8.138.172.114,[],Panda C2,2025-06-20,6/8/2025
3.226.119.211,"['ec2-3-226-119-211.compute-1.amazonaws.com', 'iplexnow.com']",Hak5 Cloud C2,2025-06-20,6/8/2025
36.138.73.158,['scsltjt.com'],Panda C2,2025-06-19,6/8/2025
39.101.129.120,[],Panda C2,2025-06-19,6/8/2025
196.251.83.52,['undefined.hostname.localhost'],Cobalt Strike,5/23/2025,5/23/2025
162.240.240.144,"['www.i-p.cn', '162-240-240-144.unifiedlayer.com', 'i-p.cn', 'junyuanholdinggroup.com', 'junyuanpetroleumgroup.com', 'mail.i-p.cn']",Panda C2,2025-06-20,6/8/2025
161.117.179.114,[],Panda C2,2025-06-20,6/8/2025
34.120.209.233,"['233.209.120.34.bc.googleusercontent.com', 'liferay.cloud']",Panda C2,2025-06-20,6/8/2025
116.62.142.146,"['www.omitac.com', 'omitac.com']",Panda C2,2025-06-20,6/8/2025
47.243.103.221,['www.flyert.com'],Panda C2,6/5/2025,6/5/2025
47.96.64.80,['www.xingyumilu.top'],Panda C2,2025-06-20,6/8/2025
162.215.255.212,"['162-215-255-212.unifiedlayer.com', 'chinagardenhose.com']",Panda C2,2025-06-20,6/8/2025
47.106.149.60,[],Panda C2,2025-06-19,6/8/2025
